"date";"portal";"title";"position";"link";"fontSize";"Nazwisko"
2015-03-17;http://www.gazeta.pl;Poparcie dla Dudy znów rośnie i przebija kolejną barierę. Komorowski na czele. Traci za to Ogórek;3;http://wiadomosci.gazeta.pl/wiadomosci/1,114871,17579233,Poparcie_dla_Dudy_rosnie__Komorowski_wygra_w_II_turze.html;20;komorowski
2015-03-17;http://www.tvn24.pl/;Duda coraz silniejszy, topnieje przewaga Komorowskiego;3;http://www.tvn24.pl/sondaz-prezydencki-dla-faktow-tvn,524725,s.html;38;komorowski
2015-03-17;http://www.wprost.pl/;Najnowszy sondaż: Komorowski wygra wybory prezydenckie, ale PiS bierze parlament;3;http://www.wprost.pl/ar/498696/Najnowszy-sondaz-Komorowski-wygra-wybory-prezydenckie-ale-PiS-bierze-parlament/;28;komorowski
2015-03-17;http://www.tvn24.pl/;Kampania nijaka, Komorowski rozczarowuje.  Jak sie postara, moze przegrac;3;http://www.tvn24.pl/cimoszewicz-jak-komorowski-sie-dobrze-postara-moze-przegrac,525145,s.html;38;komorowski
2015-03-17;http://www.tvn24.pl/;Duda coraz silniejszy, topnieje przewaga Komorowskiego. Sondaz dla  Faktów  TVN;3;/wiadomosci-z-kraju,3/duda-coraz-silniejszy-topnieje-przewaga-komorowskiego-sondaz-dla-faktow-tvn,524725.html;38;komorowski
2015-03-17;http://www.wprost.pl/;Sondaż prezydencki: 46 proc. dla Komorowskiego, 31 proc. dla Dudy;2;http://www.wprost.pl/ar/498568/Sondaz-prezydencki-46-proc-dla-Komorowskiego-31-proc-dla-Dudy/;12;komorowski
2015-03-17;http://www.tvn24.pl/;Duda coraz silniejszy, topnieje przewaga Komorowskiego. Sondaz dla  Faktów  TVN;2;http://www.tvn24.pl/sondaz-prezydencki-dla-faktow-tvn,524725,s.html;14;komorowski
2015-03-17;http://wyborcza.pl/0,0.html?piano_d=1;Najnowszy sondaż: Komorowski bez zmian, Duda i Kukiz zyskują;2;http://wyborcza.pl/1,75478,17579184,Najnowszy_sondaz__Komorowski_bez_zmian__Duda_i_Kukiz.html;20;komorowski
2015-03-17;http://www.tvn24.pl/;Duda coraz silniejszy, topnieje przewaga Komorowskiego;2;http://www.tvn24.pl/duda-coraz-silniejszy-topnieje-przewaga-komorowskiego,524725,s.html;14;komorowski
2015-03-17;http://www.wprost.pl/;Komorowski podpisze ustawę o in vitro?;2;http://www.wprost.pl/ar/498703/Komorowski-podpisze-ustawe-o-in-vitro/;12;komorowski
2015-03-17;http://www.wprost.pl/;Komorowski: Konwencja o przemocy wobec kobiet zgodna z konstytucją;2;http://www.wprost.pl/ar/498699/Komorowski-Konwencja-o-przemocy-wobec-kobiet-zgodna-z-konstytucja/;12;komorowski
2015-03-17;http://www.wprost.pl/;Najnowszy sondaż: Komorowski wygra wybory prezydenckie, ale PiS bierze parlament;2;http://www.wprost.pl/ar/498696/Najnowszy-sondaz-Komorowski-wygra-wybory-prezydenckie-ale-PiS-bierze-parlament/;12;komorowski
2015-03-17;http://www.wprost.pl/;Komorowski: Tu ginęli żołnierze radzieccy. Nałęcz: Kto to kwestionuje, jest propagandystą;2;http://www.wprost.pl/ar/498752/Komorowski-Tu-gineli-zolnierze-radzieccy-Nalecz-Kto-to-kwestionuje-jest-propagandysta/;12;komorowski
2015-03-17;http://www.dziennik.pl;Ciupaga symbolem zgody? Sztab PiS bije w Komorowskiego;2;http://wiadomosci.dziennik.pl/wybory-prezydenckie/galeria/485444,wybory-prezydenckie-2015-sztab-pis-bije-w-prezydenta-muzeum-zgody-im-bronislawa-komorowskiego.html;22;komorowski
